observacao_id,profund_sup,profund_inf,prop1_areia,prop2_argila,prop3_silte,alr_comp1,alr_comp2,relevo_elevacao,coord_x,coord_y
Exame-10,80.0,120.0,0.16,0.56,0.28,-0.5596157879354228,0.6931471805599453,860,-46.5166666666667,-18.5833333333333
Exame-11,80.0,120.0,0.1,0.8,0.1,0,2.0794415416798357,990,-46.45,-18.4833333333333
Exame-12,80.0,120.0,0.5,0.44,0.06,2.120263536200091,1.9924301646902063,910,-46.4333333333333,-18.3833333333333
Exame-17,70.0,80.0,0.15,0.49,0.36,-0.8754687373538999,0.30830135965451666,760,-47.0833333333333,-18.1166666666667
Exame-18,80.0,100.0,0.05,0.85,0.1,-0.6931471805599453,2.1400661634962708,960,-47.0833333333333,-18.25
Exame-19,80.0,120.0,0.38,0.44,0.18,0.7472144018302211,0.8938178760220965,980,-47.0666666666667,-18.6166666666667
Exame-22,100.0,120.0,0.21,0.71,0.08,0.965080896043587,2.1832383353614797,1030,-46.4666666666667,-18.5666666666667
Exame-23,80.0,120.0,0.11,0.85,0.04,1.0116009116784799,3.056356895370426,1040,-46.2666666666667,-18.5333333333333
Exame-28,50.0,60.0,0.09,0.56,0.35,-1.3581234841531942,0.47000362924573574,880,-46.0666666666667,-18.95
Exame-30,80.0,120.0,0.1,0.83,0.07,0.3566749439387324,2.4729304587412844,980,-47.5166666666667,-18.9666666666667
Exame-37,100.0,120.0,0.14,0.74,0.12,0.15415067982725836,1.8191584434161694,1100,-46.15,-19.1833333333333
Exame-38,80.0,120.0,0.08,0.85,0.07,0.13353139262452257,2.4967411074350028,1120,-45.9666666666667,-19.75
Exame-40,80.0,120.0,0.11,0.78,0.11,0,1.9588135538912212,920,-46.2666666666667,-19.1833333333333
Exame-6,90.0,120.0,0.06,0.88,0.06,0,2.6855773452501515,1140,-47.2833333333333,-19.4166666666667
Exame-8,90.0,120.0,0.15,0.69,0.16,-0.06453852113757118,1.461517782357478,970,-46.9166666666667,-18.85
